Id,Category,Subcategory,Furnishing,Neighborhood quality,Garage,Tenure,Unit Feature 1,Unit Feature 2,Unit Feature 3,Features,Area (sq. ft),Gym,Swimming pool,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,Latitude,Longitude,Remarks
1,House,Bungalow,Fully Furnished,4,TRUE,Freehold,Water heater,Intercom,Air-conditioning,Balcony,3403,FALSE,TRUE,5,4,3,2020,Downtown,Excellent,No,149919,2.8053,101.751,
2,House,Studio,Fully Furnished,9,FALSE,Leasehold,Intercom,Balcony,Dishwasher,Air-conditioning,333,FALSE,TRUE,5,4,3,2013,Downtown,Excellent,No,424998,2.6512,100.819,
3,House,Apartment,Unfurnished,2,TRUE,Leasehold,Dryer,Intercom,Bathtub,Water heater,1177,TRUE,FALSE,2,2,3,2021,Downtown,Good,No,266746,2.8729,101.723,
4,House,Bungalow,Unfurnished,1,TRUE,Freehold,Oven/Micowave,Water heater,Dishwasher,Oven/Micowave,3410,FALSE,TRUE,4,2,2,2013,Suburban,Fair,Yes,244020,3.6348,100.969,
5,House,Penthouse,Unfurnished,1,FALSE,Leasehold,Dryer,Dining Room Furniture,Air-conditioning,Bathtub,4710,TRUE,FALSE,1,4,2,2011,Downtown,Fair,Yes,636056,3.2637,101.352,
6,House,Loft,Unfurnished,2,FALSE,Freehold,Water heater,Air-conditioning,Bathtub,City View,1283,TRUE,FALSE,1,2,1,2019,Urban,Poor,No,93262,3.2634,101.321,
7,House,Condominium,Fully Furnished,8,FALSE,Leasehold,Intercom,Balcony,City View,Dishwasher,1901,FALSE,TRUE,1,1,2,2018,Rural,Poor,Yes,448722,3.79,101.09,
8,House,Semi-Detached House,Fully Furnished,2,TRUE,Freehold,Park/Greenery View,Balcony,Dining Room Furniture,Dryer,2278,TRUE,FALSE,2,4,1,2018,Suburban,Good,Yes,594893,2.7638,100.798,
9,House,Duplex,Partial Furnished,8,FALSE,Leasehold,Water heater,Dishwasher,Jacuzzi,Park/Greenery View,1731,TRUE,FALSE,2,2,1,2011,Rural,Poor,Yes,652878,3.7914,101.732,
10,House,Apartment,Fully Furnished,4,TRUE,Leasehold,Dishwasher,Air-conditioning,Park/Greenery View,Intercom,642,FALSE,TRUE,3,3,1,2023,Downtown,Poor,No,340375,2.7673,101.845,
11,House,Penthouse,Partial Furnished,8,FALSE,Leasehold,City View,Bathtub,Water heater,Jacuzzi,1597,TRUE,FALSE,1,4,2,2011,Suburban,Poor,Yes,653685,3.2354,101.461,
12,House,Terraced House/Townhouse,Partial Furnished,9,TRUE,Freehold,Dryer,Living Room Furniture,Balcony,Living Room Furniture,1997,FALSE,TRUE,4,4,3,2024,Urban,Excellent,Yes,127123,3.3264,101.096,
